T1 P1 D0.030000 X-4.088900 Z-9.858000 I+15.000000 J+75.000000 Q2 ;MASTER TOOL 
T2 P2 D0.030000 X-11.000000 Z-15.000000 Q9 ; 
T3 P3 D0.004000 X-4.138900 Z-10.626900 I+120.000000 J+60.000000 Q6 ;Threading Tool 
T4 P4 D0.100000 X+0.400000 Q9 ; 
T5 P5 D0.100000 X-3.120000 Z-3.600000 I+90.000000 J+90.000000 Q6 ; 
T6 P6 D0.004000 X-5.905000 Z-8.650000 I+240.000000 J+300.000000 Q8 ; 
T7 P7 D0.100000 X-5.600000 Z-4.000000 I+360.000000 J+360.000000 Q7 ; 
T8 P8 D0.100000 X+0.800000 Q9 ; 
T9 P9 D0.100000 X+0.900000 Q6 ; 
T10 P10 D0.500000 X-6.000000 Z-4.000000 Q3 ;Indexable Drill 
T10001 P0 Q1 ;tool 1 wear offset 
T10002 P0 ;tool2 wear offset 
T10003 P0 ;wear offset 
T10004 P0 ;wear offset 
T10005 P0 ;wear offset 
T10006 P0 ;wear offset 
T10007 P0 ;wear offset 
T10008 P0 ;wear offset 
T10009 P0 ;wear offset 
T10010 P0 ;wear offset 
T10000 P0 ;zero wear offset (all tools) 
